tpep_production_datetime,latitude,longitude
2013-12-07T00:01:00.000,40.765823, -73.987169
2012-10-28T07:00:00.000,40.765823, -73.987169
2013-05-04T00:01:00.000,40.765823, -73.987169
2016-05-21T06:00:00.000,40.765823, -73.987169
2014-04-24T07:00:00.000,40.706027, -74.008835
2016-04-08T10:00:00.000,40.862543, -73.888143
2014-11-10T05:00:00.000,40.762574, -73.913447
2015-03-13T08:00:00.000,40.762211, -73.931528
2013-04-21T08:00:00.000,40.798452, -73.974428
2012-04-23T00:00:00.000,40.693682, -73.989693
2015-08-13T06:00:00.000,40.747155, -73.939750
2013-05-01T06:00:00.000,40.759260, -73.989860
2016-11-30T07:00:00.000,40.747155, -73.939750
2015-07-31T09:00:00.000,40.765823, -73.987169
2012-05-24T06:00:00.000,40.775921, -73.982607
2012-10-15T06:00:00.000,40.762211, -73.931528
2012-08-07T06:00:00.000,40.724744, -73.909639
2013-01-16T06:00:00.000,40.694696, -73.966286
2015-12-15T00:01:00.000,40.765823, -73.987169
2016-11-30T06:00:00.000,40.693682, -73.989693
2015-10-30T06:00:00.000,40.747155, -73.939750
2014-12-05T00:01:00.000,40.731829, -73.989181
2014-06-29T13:00:00.000,40.663046, -73.954219
2016-01-26T06:00:00.000,40.765823, -73.987169
2014-04-04T07:00:00.000,40.727790, -73.947605
2013-02-04T08:30:00.000,40.713848, -74.007755
2013-10-28T08:00:00.000,40.765823, -73.987169
2016-03-24T06:00:00.000,40.694696, -73.966286
2016-11-29T17:00:00.000,40.765823, -73.987169
2013-12-18T06:00:00.000,40.798601, -73.966622
2013-05-16T12:00:00.000,40.758628, -73.967948
2014-11-12T06:00:00.000,40.791763, -73.943970
2014-11-14T12:00:00.000,40.715775, -73.986212
2012-03-29T11:00:00.000,40.758236, -73.978833
2012-02-28T06:00:00.000,40.825288, -73.950045
2015-04-14T00:01:00.000,40.750633, -73.997177
2012-01-23T07:00:00.000,40.765823, -73.987169
2015-05-29T07:00:00.000,40.727790, -73.947605
2014-12-19T16:00:00.000,40.747155, -73.939750
2016-11-30T08:00:00.000,40.852779, -73.912332
2013-10-18T00:01:00.000,40.765823, -73.987169
2013-12-13T07:00:00.000,40.700272, -73.835971
2013-12-06T06:00:00.000,40.688630, -74.018244
2016-11-30T07:00:00.000,40.632648, -74.116148
2013-05-10T07:00:00.000,40.646448, -73.956649
2015-03-12T08:00:00.000,40.727790, -73.947605
2012-12-03T06:00:00.000,40.742039, -74.000620
2015-09-14T17:30:00.000,40.762574, -73.913447
2013-11-22T06:00:00.000,40.693682, -73.989693
2013-11-16T14:00:00.000,40.727790, -73.947605
2013-08-14T19:00:00.000,40.731829, -73.989181
2016-11-29T17:00:00.000,40.750633, -73.997177
2016-11-30T08:00:00.000,40.731829, -73.989181
2016-11-30T08:00:00.000,40.727790, -73.947605
